text,label
"Please review the attached invoice for last month.",Work
"Team, the deployment is scheduled for tomorrow at 10am.",Work
"Lunch this weekend?",Personal
"Don't miss our weekly deals and offers!",Newsletter
"You've won a prize! Click to claim now.",Spam
"Your subscription will expire soon. Renew now.",Newsletter
"Project kickoff meeting notes attached.",Work
"Can we reschedule our call to Monday?",Personal
"Huge discounts on electronics this week.",Newsletter
"Urgent: Update your password to keep your account secure.",Spam
"Here is the draft of the report for your review.",Work
"Happy birthday! Let's celebrate tonight.",Personal
"Monthly newsletter: product updates and tips.",Newsletter
"Congratulations, you have been selected!",Spam
"Please approve the timesheet by EOD.",Work
"Are you free for a quick chat?",Personal
"Limited time offer just for you.",Newsletter
"Win big with our new promotion.",Spam
"Final reminder: submit your expenses.",Work
"Dinner plans changed to 7pm.",Personal
"This week's highlights and blog roundup.",Newsletter
"Recover your account now by verifying your info.",Spam
"Client requested an update on the project status.",Work
"Can I borrow your notes from class?",Personal
"Weekly deals: save up to 50%.",Newsletter
"Act now to claim your reward.",Spam
"Please find attached the contract for signatures.",Work
"Family reunion details attached.",Personal
"Top stories and announcements this month.",Newsletter
"Your account has suspicious activity.",Spam
"Quarterly performance review scheduled.",Work
"Let's go hiking this Saturday.",Personal
"New product launch — special offers inside.",Newsletter
"You've received an inheritance notification.",Spam
"Budget approval needed for next quarter.",Work
"Call me when you're free.",Personal
"Newsletter: tips to improve productivity.",Newsletter
"You've been selected for a free gift card.",Spam
"Please review the updated roadmap.",Work
"Are you joining the party tonight?",Personal
"Subscribe for more weekly updates.",Newsletter
"This is to inform you about suspicious login.",Spam
